央视频道,#genre#
CCTV-1综合,http://58.48.37.158:1111/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://122.139.47.206:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://58.57.21.166:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.136.67.238:50085/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://124.128.73.58:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://117.27.190.42:9998/tsfile/live/23246_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://123.129.70.178:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://59.173.243.210:9901/tsfile/live/1036_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://202.100.46.58:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://220.164.192.48:50085/tsfile/live/0017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://117.27.190.42:9998/tsfile/live/23249_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.138.128.226:19901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://110.177.146.171:888/rtp/239.1.1.122:8122$1920x1080
CCTV-1综合,http://171.118.137.182:8083/rtp/226.0.2.169:9264$1920x1080
CCTV-1综合,http://183.191.240.64:8004/rtp/226.0.2.169:9264$1920x1080
CCTV-1综合,http://59.172.33.61:8880/rtp/239.69.1.247:11124$1920x1080
CCTV-1综合,http://119.98.51.196:4022/rtp/239.69.1.247:11124$1920x1080
CCTV-1综合,http://183.141.216.56:9999/rtp/233.50.201.192:5140$1920x1080
CCTV-1综合,http://60.164.128.167:8029/rtp/239.255.30.88:8231$1920x1080
CCTV-1综合,http://122.9.151.210:887/rtp/238.255.2.219:5999
CCTV-1综合,http://111.199.232.88:18888/rtp/239.3.1.183:8001$1920x1080
CCTV-1综合,http://123.121.93.25:8686/rtp/239.3.1.183:8001$1920x1080
CCTV-1综合,http://123.117.36.74:4001/rtp/239.3.1.183:8001$1920x1080
CCTV-1综合,http://114.243.156.93:8888/rtp/239.3.1.183:8001$1920x1080
CCTV-1综合,http://123.113.106.229:4022/rtp/239.3.1.183:8001$1920x1080
CCTV-1综合,http://111.199.232.88:18888/rtp/239.3.1.184:8001$1920x1080
CCTV-1综合,http://123.121.93.25:8686/rtp/239.3.1.184:8001$1920x1080
CCTV-1综合,http://123.117.36.74:4001/rtp/239.3.1.184:8001$1920x1080
CCTV-1综合,http://114.243.156.93:8888/rtp/239.3.1.184:8001$1920x1080
CCTV-1综合,http://123.113.106.229:4022/rtp/239.3.1.184:8001$1920x1080
CCTV-1综合,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010142/1.m3u8
CCTV-1综合,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-1综合,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226100/index.m3u8
CCTV-1综合,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000006000233001/1.m3u8
CCTV-1综合,https://jump.taoiptv.cn/iptv1.php?id=100200&num=1&sign=fk3aks
CCTV-1综合,http://iptvcyp.top:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://120.55.49.231:3095/rtp/233.50.201.192:5140
CCTV-1综合,http://220.164.192.48:50085/tsfile/live/0018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://58.48.37.158:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://58.51.111.46:1111/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://119.163.57.184:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://222.169.85.8:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://183.24.48.6:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://61.157.139.15:9901/tsfile/live/2386_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://119.163.228.205:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://119.163.63.188:9901/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://59.173.243.210:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://58.48.5.186:1111/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://117.27.190.42:9998/tsfile/live/23247_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1综合,http://36.35.16.98:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1综合,http://58.57.21.166:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
